Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-09-22,000069,4.26,4.34,4.25,4.33,221455,95291096.0,0.06,1.405152224824356,0,1,1,0,0,1,0,0,,,,,,,,
2023-09-25,000069,4.31,4.32,4.25,4.26,256317,109512168.0,-0.07,-1.6166281755196306,,,,,,,,,,,,,,,,
2023-09-26,000069,4.25,4.28,4.24,4.25,137798,58691224.0,-0.01,-0.2347417840375587,,,,,,,,,0,2,2,0,0,2,0,0
2023-09-27,000069,4.25,4.28,4.23,4.26,165875,70643360.0,0.01,0.2352941176470588,,,,,,,,,0,1,1,0,0,0,0,0
2023-09-28,000069,4.25,4.27,4.21,4.23,331396,140318208.0,-0.03,-0.7042253521126761,,,,,,,,,0,2,2,0,0,1,0,0
2023-10-09,000069,4.22,4.22,4.16,4.18,236807,99033520.0,-0.05,-1.182033096926714,,,,,,,,,0,2,1,0,1,0,0,1
2023-10-10,000069,4.18,4.23,4.15,4.15,188213,78772704.0,-0.03,-0.7177033492822966,,,,,,,,,0,5,2,1,2,0,0,1
2023-10-11,000069,4.16,4.17,4.1,4.11,224288,92685064.0,-0.04,-0.9638554216867472,,,,,,,,,0,3,0,1,2,0,0,0
2023-10-12,000069,4.14,4.17,4.11,4.16,193640,80256488.0,0.05,1.2165450121654502,1,1,0,0,1,0,0,1,0,3,2,1,0,0,1,0
2023-10-13,000069,4.14,4.17,4.1,4.11,186776,77076272.0,-0.05,-1.201923076923077,,,,,,,,,0,1,0,0,1,0,0,1
2023-10-16,000069,4.11,4.14,3.98,4.02,333857,134612768.0,-0.09,-2.18978102189781,,,,,,,,,2,6,4,2,0,1,1,0
2023-10-17,000069,4.03,4.03,3.91,3.93,374393,147908304.0,-0.09,-2.238805970149253,,,,,,,,,,,,,,,,
2023-10-18,000069,3.91,3.94,3.86,3.86,249450,97217840.0,-0.07,-1.7811704834605595,0,2,1,1,0,1,1,0,,,,,,,,
2023-10-19,000069,3.86,3.86,3.71,3.71,586035,221875504.0,-0.15,-3.886010362694301,,,,,,,,,0,8,3,1,4,0,1,1
