Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2021-01-27,000596,242.01,247.6,234.1,246.1,28508,688368256.0,-1.99,-0.8021282599056793,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2021-01-28,000596,246.1,252.99,242.04,251.0,30933,770784512.0,4.9,1.991060544494108,0,1,0,0,1,0,0,1,,,,,,,,
2021-01-29,000596,251.88,257.77,242.0,244.0,21628,539088512.0,-7.0,-2.788844621513944,,,,,,,,,,,,,,,,
2021-02-01,000596,243.99,247.99,237.59,239.58,19052,461164128.0,-4.42,-1.8114754098360657,0,1,1,0,0,1,0,0,,,,,,,,
2021-02-02,000596,239.58,248.4,235.5,247.0,21703,529855360.0,7.42,3.0970865681609485,0,1,0,1,0,0,0,0,,,,,,,,
2021-02-03,000596,247.0,249.36,240.55,241.4,21692,527573024.0,-5.6,-2.2672064777327936,,,,,,,,,,,,,,,,
2021-02-04,000596,240.71,248.2,235.3,245.0,28318,691542400.0,3.6,1.4913007456503728,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2021-02-05,000596,245.1,254.92,242.0,250.8,35602,892018240.0,5.8,2.36734693877551,0,1,0,1,0,0,0,0,,,,,,,,
2021-02-08,000596,252.7,257.0,241.53,243.8,31976,788207808.0,-7.0,-2.7910685805422646,,,,,,,,,,,,,,,,
2021-02-09,000596,244.39,244.8,237.15,242.32,27598,664327424.0,-1.48,-0.6070549630844955,,,,,,,,,,,,,,,,
2021-02-10,000596,242.32,255.15,241.99,252.53,45536,1132405376.0,10.21,4.213436777814461,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0
2021-02-18,000596,258.2,271.0,243.88,254.33,57954,1492815360.0,1.8,0.7127865996119273,,,,,,,,,,,,,,,,
2021-02-19,000596,250.38,256.58,240.5,251.25,32529,809894784.0,-3.08,-1.211025046199819,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1
2021-02-22,000596,251.25,251.9,235.0,235.1,42123,1008154112.0,-16.15,-6.4278606965174125,,,,,,,,,0,1,0,0,1,0,0,0
2021-02-23,000596,230.33,254.8,229.0,253.88,39988,984733312.0,18.78,7.988090174393875,0,1,1,0,0,0,0,0,,,,,,,,
2021-02-24,000596,250.44,253.0,237.0,241.54,41062,993684096.0,-12.34,-4.860564046005987,0,1,0,1,0,0,1,0,,,,,,,,
2021-02-25,000596,238.01,242.9,230.22,235.3,23448,552472256.0,-6.24,-2.583423035522067,,,,,,,,,,,,,,,,
2021-02-26,000596,228.88,238.78,225.65,234.28,22412,520904032.0,-1.02,-0.4334891627709307,0,1,0,1,0,0,0,0,,,,,,,,
2021-03-01,000596,237.01,237.68,224.35,227.06,18103,415084352.0,-7.22,-3.081782482499573,,,,,,,,,,,,,,,,
2021-03-02,000596,227.09,229.6,213.5,216.33,33137,730176256.0,-10.73,-4.725623183299568,0,2,1,1,0,1,1,0,,,,,,,,
2021-03-03,000596,214.35,222.98,213.36,222.49,18843,414197408.0,6.16,2.8475015023343966,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
2021-03-04,000596,220.98,221.05,215.22,217.0,19744,429363168.0,-5.49,-2.467526630410356,,,,,,,,,0,1,0,0,1,0,0,1
