Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2021-02-18,603392,343.99,344.7,305.0,307.2,26693,842525568,-30.33,-8.985867922851302
2021-02-19,603392,305.0,314.0,290.9,303.78,15442,466574336,-3.42,-1.11328125
2021-02-22,603392,303.88,306.0,273.4,273.41,24561,693908480,-30.37,-9.997366515241293
2021-02-23,603392,264.89,278.0,251.21,262.96,19931,528920032,-10.45,-3.822098679638638
2021-02-24,603392,265.0,265.0,245.06,249.64,18399,464039712,-13.32,-5.065409187709157
2021-02-25,603392,251.35,265.19,251.35,254.0,15757,406852512,4.36,1.746514981573466
2021-02-26,603392,249.0,258.0,243.24,249.59,16747,417554688,-4.41,-1.736220472440945
2021-03-01,603392,253.01,255.66,242.18,248.12,17857,441605888,-1.47,-0.5889659040826957
2021-03-02,603392,253.0,253.0,242.3,245.36,11257,277747872,-2.76,-1.11236498468483
2021-03-03,603392,244.5,245.88,236.98,243.18,12531,301801216,-2.18,-0.8884903814802738
2021-03-04,603392,238.73,238.99,222.24,225.0,14902,342086176,-18.18,-7.475943745373797
2021-03-05,603392,228.78,242.36,225.09,236.2,16602,390247744,11.2,4.977777777777778
2021-03-08,603392,234.9,235.8,214.28,217.32,20446,460422336,-18.88,-7.993226079593565
2021-03-09,603392,217.33,221.0,202.71,204.59,14986,314973440,-12.73,-5.857721332597092
2021-03-10,603392,210.19,214.5,208.3,211.0,11988,254019840,6.41,3.1330954592111047
2021-03-11,603392,213.0,226.39,211.11,223.01,12900,284595648,12.01,5.691943127962086
2021-03-12,603392,222.96,230.8,219.0,230.8,14845,336515776,7.79,3.4931169005874176
2021-03-15,603392,227.62,227.62,213.55,217.7,16255,355571744,-13.1,-5.675909878682842
2021-03-16,603392,219.49,239.47,217.51,230.71,13517,309341184,13.01,5.976113918236105
2021-03-17,603392,230.78,240.0,226.0,236.0,10256,241205136,5.29,2.292921849941485
2021-03-18,603392,235.25,241.0,234.0,237.04,8459,201170224,1.04,0.4406779661016949
2021-03-19,603392,231.0,238.34,226.39,238.34,13167,308383008,1.3,0.5484306446169424
2021-03-22,603392,236.4,236.68,230.44,232.0,8200,191486560,-6.34,-2.6600654527146097
2021-03-23,603392,233.0,243.68,233.0,239.18,10130,241191072,7.18,3.0948275862068964
2021-03-24,603392,236.1,252.45,235.34,248.5,12875,319421152,9.32,3.896646876829166
2021-03-25,603392,245.0,255.67,241.3,253.11,10303,256902048,4.61,1.8551307847082488
2021-03-26,603392,248.49,254.97,238.0,248.85,12863,318046368,-4.26,-1.6830627000118523
2021-03-29,603392,248.85,251.68,243.51,247.1,8134,201529504,-1.75,-0.7032348804500703
2021-03-30,603392,248.06,253.95,247.12,249.38,6267,157213152,2.28,0.9227033589639824
2021-03-31,603392,248.0,250.49,240.0,242.6,11303,276123232,-6.78,-2.718742481353757
2021-04-01,603392,245.0,251.77,240.71,250.69,8385,207111456,8.09,3.334707337180544
2021-04-02,603392,252.92,262.0,250.69,261.1,8683,224753760,10.41,4.152538992381028
2021-04-06,603392,261.83,264.6,256.52,259.5,5389,140065632,-1.6,-0.6127920337035618
2021-04-07,603392,257.0,261.83,251.02,255.7,5614,143126688,-3.8,-1.464354527938343
2021-04-08,603392,253.0,281.04,249.0,280.25,14744,397503808,24.55,9.601095033242082
2021-04-09,603392,278.05,293.61,277.01,290.48,16869,483901952,10.23,3.650312221231044
2021-04-12,603392,291.8,294.8,280.2,284.0,10853,311855456,-6.48,-2.2307904158633987
2021-04-13,603392,280.0,305.0,279.72,296.7,14661,434437312,12.7,4.471830985915493
2021-04-14,603392,293.01,299.99,290.1,294.28,7842,230857040,-2.42,-0.8156386922817661
2021-04-15,603392,292.49,308.53,291.51,302.61,11113,336296640,8.33,2.830637488106565
2021-04-16,603392,302.61,304.0,284.2,293.62,11446,334864000,-8.99,-2.9708205280724367
2021-04-19,603392,298.08,302.0,292.0,297.06,11412,339680544,3.44,1.171582317280839
2021-04-20,603392,295.01,301.9,288.9,297.03,8854,261839232,-0.03,-0.0100989699050696
2021-04-21,603392,297.29,313.0,295.29,311.58,17176,526369600,14.55,4.898495101504898
2021-04-22,603392,310.0,322.21,303.23,305.01,18783,586311552,-6.57,-2.108607741190064
2021-04-23,603392,308.99,320.0,305.5,313.1,14224,446611904,8.09,2.652372053375299
2021-04-26,603392,317.41,320.99,294.5,296.49,16956,517990720,-16.61,-5.305014372404982
2021-04-27,603392,297.76,305.7,292.99,301.0,12884,388059744,4.51,1.5211305608958143
2021-04-28,603392,300.0,307.99,294.2,306.0,12236,369287616,5.0,1.6611295681063123
2021-04-29,603392,293.0,308.58,292.11,300.73,19841,594513920,-5.27,-1.7222222222222223
2021-04-30,603392,298.01,308.92,295.0,308.14,20600,626232768,7.41,2.4640042563096465
2021-05-06,603392,301.0,301.59,286.01,295.48,16147,475515744,-12.66,-4.108522100344
2021-05-07,603392,296.25,305.6,290.46,290.81,11074,331230976,-4.67,-1.580479220251794
2021-05-10,603392,291.0,302.68,291.0,302.68,13200,394757568,11.87,4.081702830026478
2021-05-11,603392,300.52,310.79,295.7,310.0,15322,467558016,7.32,2.41839566538919
2021-05-12,603392,310.0,311.91,296.0,307.99,13401,406852832,-2.01,-0.6483870967741935
2021-05-13,603392,306.0,311.07,301.3,307.77,10078,308173280,-0.22,-0.0714308906133316
2021-05-14,603392,308.0,325.9,302.01,324.9,19686,624130880,17.13,5.565844624232382
2021-05-17,603392,326.0,334.48,322.01,326.7,12417,407083840,1.8,0.554016620498615
2021-05-18,603392,236.0,239.0,232.11,236.8,10510,247670448,-89.9,-27.51760024487297
2021-05-19,603392,234.9,236.39,226.4,236.0,18052,418118848,-0.8,-0.3378378378378378
2021-05-20,603392,233.5,242.36,233.0,238.4,13556,324263584,2.4,1.0169491525423728
2021-05-21,603392,239.06,240.0,228.6,229.11,13992,324578784,-9.29,-3.896812080536913
2021-05-24,603392,228.3,230.51,219.0,225.88,14244,320065856,-3.23,-1.4098031513246911
2021-05-25,603392,228.8,229.9,224.0,226.22,16605,376874912,0.34,0.1505224012750133
2021-05-26,603392,225.0,227.24,220.0,221.35,12832,285638688,-4.87,-2.1527716382282733
2021-05-27,603392,221.2,221.79,211.35,219.93,17444,379365184,-1.42,-0.6415179579850915
2021-05-28,603392,219.51,222.88,213.98,216.86,15521,338902592,-3.07,-1.3958986950393306
2021-05-31,603392,214.5,227.55,214.5,227.0,21554,482462880,10.14,4.675827722954902
2021-06-01,603392,227.2,231.69,223.13,230.0,16731,382629568,3.0,1.3215859030837005
2021-06-02,603392,228.43,229.65,223.59,226.69,12221,277022464,-3.31,-1.4391304347826086
2021-06-03,603392,226.0,228.89,223.01,223.51,10282,231995232,-3.18,-1.4027967709206406
2021-06-04,603392,223.98,238.1,223.51,235.7,25819,603296576,12.19,5.453894680327502
2021-06-07,603392,236.58,239.0,233.44,237.05,14359,339648800,1.35,0.5727619855748833
2021-06-08,603392,237.1,241.0,226.48,229.0,16945,395572544,-8.05,-3.395908036279266
2021-06-09,603392,226.73,230.9,223.06,229.23,9547,217917888,0.23,0.1004366812227074
2021-06-10,603392,231.63,243.0,231.55,242.5,27305,653472640,13.27,5.788945600488592
2021-06-11,603392,241.55,254.84,238.0,252.1,25936,645878976,9.6,3.958762886597938
2021-06-15,603392,252.39,258.6,248.31,251.39,17279,438291136,-0.71,-0.2816342721142404
2021-06-16,603392,254.35,257.09,247.0,248.86,14947,375472928,-2.53,-1.0064043915827996
2021-06-17,603392,251.6,251.64,239.0,241.42,17345,420363392,-7.44,-2.989632725227036
2021-06-18,603392,245.04,256.0,241.25,252.95,16037,402300736,11.53,4.7759092038770605
2021-06-21,603392,253.84,254.8,245.0,249.6,11287,282510816,-3.35,-1.3243724056137578
2021-06-22,603392,249.0,256.6,248.0,255.5,13783,348645728,5.9,2.363782051282051
2021-06-23,603392,256.0,261.0,252.0,258.5,14801,380276384,3.0,1.1741682974559686
2021-06-24,603392,260.0,261.0,248.04,252.0,12348,312287712,-6.5,-2.5145067698259185
2021-06-25,603392,254.99,256.99,250.12,255.0,9674,246272288,3.0,1.1904761904761905
2021-06-28,603392,255.0,265.0,252.02,264.0,15282,397513312,9.0,3.5294117647058822
2021-06-29,603392,262.7,264.99,255.9,257.3,10636,275983680,-6.7,-2.537878787878788
2021-06-30,603392,257.18,259.99,252.0,259.18,11398,292132352,1.88,0.7306645938593083
2021-07-01,603392,257.0,259.0,252.0,252.8,8880,225912800,-6.38,-2.4616096921058723
2021-07-02,603392,252.0,252.79,244.01,246.96,10610,263413008,-5.84,-2.3101265822784813
2021-07-05,603392,246.8,255.6,245.0,253.44,9860,247817664,6.48,2.623906705539359
2021-07-06,603392,253.9,259.17,244.0,257.62,16409,412678368,4.18,1.6493055555555556
2021-07-07,603392,254.51,261.0,251.5,258.8,12327,316803552,1.18,0.458038972129493
2021-07-08,603392,259.0,262.5,253.97,254.0,9692,249615584,-4.8,-1.854714064914992
2021-07-09,603392,249.9,252.57,245.36,250.11,9305,231049760,-3.89,-1.531496062992126
2021-07-12,603392,249.94,264.83,246.08,263.99,17862,462240160,13.88,5.549558194394467
2021-07-13,603392,263.98,281.0,263.1,279.1,18585,509163968,15.11,5.723701655365733
2021-07-14,603392,278.0,281.8,275.0,277.15,11337,314763072,-1.95,-0.6986743102830526
2021-07-15,603392,279.0,287.0,275.01,279.9,11834,330734176,2.75,0.9922424679776296
2021-07-16,603392,279.94,279.98,271.29,271.68,8656,237708896,-8.22,-2.9367631296891745
2021-07-19,603392,274.0,278.99,271.01,273.58,7888,216508128,1.9,0.6993521790341578
2021-07-20,603392,273.48,278.0,269.5,272.9,7969,217661744,-0.68,-0.2485561810073836
2021-07-21,603392,273.48,282.68,271.01,278.14,13820,384758816,5.24,1.920117259069256
2021-07-22,603392,280.0,280.0,266.8,268.99,15361,416094880,-9.15,-3.28971021787589
2021-07-23,603392,269.41,272.56,254.5,261.0,14733,386657184,-7.99,-2.9703706457489125
2021-07-26,603392,263.07,266.98,247.0,258.08,15791,405560960,-2.92,-1.1187739463601531
2021-07-27,603392,253.96,261.52,248.0,249.23,14426,366775200,-8.85,-3.429169249845009
2021-07-28,603392,248.0,259.8,242.99,257.48,13117,330971072,8.25,3.3101954018376603
2021-07-29,603392,259.0,275.0,258.19,269.01,12708,342768192,11.53,4.478017710113407
2021-07-30,603392,269.0,277.5,264.0,274.1,11930,323879488,5.09,1.892122969406342
2021-08-02,603392,271.4,284.58,269.1,283.91,14219,395952384,9.81,3.5789857716161984
2021-08-03,603392,282.63,299.77,282.63,294.0,15230,444553760,10.09,3.553943150998556
2021-08-04,603392,294.15,297.6,287.74,291.92,11062,323511808,-2.08,-0.7074829931972789
2021-08-05,603392,291.34,299.21,289.02,294.8,12165,359959584,2.88,0.9865716634694436
2021-08-06,603392,295.57,298.0,280.0,282.8,15252,434641472,-12.0,-4.07055630936228
